Order,Family,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62,run63,run64,run65,run66,run67,run68,run69,run70,run71,run72,run73,run74,run75,run76,run77,run78,run79,run80,run81,run82,run83,run84,run85,run86,run87,run88,run89,run90,run91,run92,run93,run94,run95,run96,run97,run98,run99,run100
Carnivora,Herpestidae (9/19),0.06660076,0.046230751,0.049029239,0.040534899,0.03987055,0.044595997,0.045400008,0.063948455,0.061220786,0.054638606,0.040613798,0.039419782,0.04918817,0.059310197,0.04302659,0.046234128,0.046681532,0.051113362,0.039005761,0.050779226,0.044931726,0.040103693,0.04282615,0.055667308,0.046949465,0.052847763,0.042173602,0.046833587,0.05012991,0.038100893,0.044862561,0.038252445,0.052275873,0.042140021,0.044400109,0.043033565,0.045699155,0.045475268,0.037421228,0.039270523,0.035949099,0.037687866,0.047924668,0.04380069,0.043287082,0.047514628,0.042911371,0.042740439,0.046555318,0.044699911,0.045370198,0.032622937,0.040465612,0.040538024,0.042126291,0.049152785,0.052509681,0.040386905,0.042466098,0.046900608,0.049201478,0.04002603,0.046964189,0.038637467,0.03626475,0.050378176,0.044298243,0.051022337,0.044728422,0.04494581,0.053510796,0.047062897,0.035262773,0.060598101,0.037624216,0.052813806,0.036042836,0.054735,0.04422767,0.036791353,0.039383484,0.046370131,0.03960736,0.044036704,0.043971136,0.036121079,0.046274038,0.038430585,0.056548887,0.042239155,0.046614161,0.039845338,0.034018499,0.043601165,0.0503302,0.036827478,0.036244177,0.043099155,0.053903972,0.043676581
Primates,Atelidae (10/24),0.032640654,0.036561148,0.026357252,0.025970417,0.028734985,0.027972593,0.034591069,0.033526586,0.0302407,0.029769529,0.027717873,0.028639034,0.030069074,0.030077893,0.030726866,0.037255792,0.024984023,0.027513213,0.045192166,0.03060093,0.028013998,0.028100269,0.033228606,0.028592936,0.02634393,0.030214674,0.026693625,0.028566818,0.03306731,0.029133467,0.02925755,0.028676477,0.025656766,0.036221153,0.024614114,0.029252234,0.027143122,0.029962567,0.033180231,0.035956874,0.035836932,0.036279383,0.02656519,0.028746799,0.028052692,0.028110495,0.030262757,0.029977136,0.034429894,0.030015487,0.025624478,0.028804461,0.033294761,0.026034829,0.028654404,0.031168428,0.028060539,0.02895666,0.025417744,0.024623441,0.031866672,0.025614169,0.031535218,0.031748835,0.029522417,0.025571091,0.027895012,0.031642441,0.024449752,0.030974824,0.030732786,0.03114762,0.029999606,0.027182354,0.02626541,0.032059745,0.025236648,0.023352742,0.033384839,0.028485365,0.030156146,0.031184898,0.031407816,0.027528792,0.03202924,0.026700421,0.031026978,0.027230211,0.027597454,0.031784905,0.030384783,0.026602747,0.027461498,0.02556268,0.031439524,0.028455948,0.029320079,0.028389552,0.030041508,0.030331502
Artiodactyla,Bovidae (22/98),0.008489237,0.007819223,0.007819157,0.007852902,0.008075507,0.008418229,0.009677928,0.007993295,0.008969765,0.008549516,0.008177653,0.007922452,0.008439809,0.008980654,0.008323256,0.009663784,0.007881733,0.008882364,0.008443779,0.009046293,0.008845411,0.008451915,0.007205908,0.008051353,0.008745919,0.008249872,0.007337536,0.009180385,0.008869775,0.007924539,0.008356906,0.007473465,0.006743419,0.008462786,0.007932163,0.009077773,0.007820641,0.007943933,0.007265433,0.007871243,0.007251568,0.007796214,0.009110499,0.008852635,0.008633654,0.008377707,0.007664135,0.008612753,0.008627458,0.00898019,0.009084822,0.006954627,0.007727258,0.00838417,0.007286593,0.007451769,0.007756954,0.008384434,0.007843863,0.008633678,0.007841947,0.007455498,0.008191586,0.008062658,0.007684488,0.009007445,0.007881886,0.00819535,0.008510619,0.007564908,0.008354407,0.008859549,0.007891975,0.007787884,0.008034344,0.008321136,0.007723391,0.008152223,0.008137152,0.008013423,0.008140788,0.009339647,0.008504006,0.008773315,0.007543263,0.008147583,0.008283638,0.007828436,0.008695956,0.007638942,0.007824777,0.008473681,0.008377609,0.007871414,0.008880663,0.007807896,0.007796045,0.007923872,0.008520158,0.007782029
